month,campaign,total_calls,calls_to_agent,connects,connect_rate,dmcs,dmc_rate,success,conversion,completed,dropped,drop_rate,talk_time,avg_talk_time,dmc_talk_time,avg_dmc_talk,wait_time,avg_wait_time,pause_time,wrap_time,avg_wrap_time
Jun-26,ABSA VOC,181581,181581,31936,17.59,10536,32.99,6670,63.31,7746,0,0,2214:41:15,0:00:44,742:56:57,0:04:14,1381:41:16,0:00:27,2879:11:32,312:13:52,0:00:06
Jun-26,CCBSA,946722,187478,53282,5.63,6450,12.11,2513,38.96,4042,8124,4.41,1702:53:18,0:00:33,398:29:48,0:03:42,1196:29:57,0:00:23,2073:38:24,491:57:33,0:00:09
Jun-26,Cell C Sales,743565,114121,84860,11.41,20552,24.22,736,3.58,2302,11360,8.7,1832:20:38,0:00:58,506:41:45,0:01:29,923:09:35,0:00:29,2265:42:35,1200:32:22,0:00:38
Jun-26,IPSOS MTN Eswatini,23345,16350,6257,26.8,1568,25.06,715,45.6,941,1832,11.21,537:08:20,0:01:58,287:00:50,0:10:59,155:44:53,0:00:34,741:40:37,110:51:33,0:00:24
Jun-26,MTN,900608,124783,53307,5.92,6456,12.11,833,12.9,2238,3601,3.07,1356:05:51,0:00:39,382:55:43,0:03:34,904:39:41,0:00:26,1146:38:14,412:03:10,0:00:12
Jun-26,Netcare,25263,24811,934,3.7,476,50.96,10,2.1,229,0,0,131:45:48,0:00:32,8:36:05,0:01:05,85:11:27,0:00:12,129:04:17,115:51:35,0:00:30
Jun-26,Nissan,387,387,31,8.01,31,100,31,100,31,0,0,6:13:04,0:00:58,1:56:50,0:03:46,14:51:01,0:02:18,21:13:36,1:45:26,0:00:16
Jun-26,NMS Device Insurance,423970,59514,41103,9.69,15107,36.75,1038,6.87,594,5058,8.44,1090:30:04,0:01:06,746:41:18,0:02:58,535:08:43,0:00:32,675:06:48,305:08:18,0:00:18
Jun-26,NMS Life,3400461,539867,340675,37.19,114958,104.78,6665,15.43,6949,25580,8.34,7294:01:38,0:02:12,4247:44:59,0:07:32,3293:42:11,0:00:56,4118:27:16,1746:33:21,0:00:42
Jun-26,NPS,68053,67869,9297,27.65,4213,89.71,827,75.34,2723,12,0.02,770:48:27,0:01:50,276:22:44,0:12:26,692:05:22,0:01:17,819:11:53,131:34:15,0:00:12
Jun-26,PMI,2034,2034,768,37.76,309,40.23,302,97.73,304,0,0,30:08:37,0:00:53,13:02:52,0:02:32,33:16:26,0:00:59,51:50:28,5:03:41,0:00:09
Jun-26,Toyota,91754,91754,13879,88.54,10440,478.82,9101,545.89,9461,0,0,1127:49:45,0:04:43,504:06:15,0:19:41,750:57:40,0:03:10,1354:54:48,240:51:47,0:01:03
Jun-26,Voda AOL,17684,17684,3615,20.44,681,18.84,39,5.73,262,0,0,213:46:02,0:00:44,42:24:57,0:03:44,228:01:53,0:00:46,240:00:10,63:56:21,0:00:13
Jun-26,Voda DI,164980,164371,19904,12.06,4747,23.85,1250,26.33,3164,0,0,1465:29:57,0:00:32,318:03:24,0:04:01,482:55:22,0:00:11,807:30:45,581:08:46,0:00:13
